Libreria,Iteracion,Tamano_Mod,T_polinomio,T_NTT,T_suma,T_multiplicacion,T_INTT
nfllib,0,14,99.1252,40.0641,0.0895,0.9208,4.0503
nfllib,0,30,2.0462,7.26165,0.1293,0.4784,3.31915
nfllib,0,62,4.79075,6.89935,134.28,0.7979,4.0007
nfllib,1,14,0.8863,3.0282,0.0643,0.2734,4.5432
nfllib,1,30,1.7211,2.6563,0.1123,0.4523,3.85525
nfllib,1,62,3.5324,4.335,0.3355,0.7714,3.5972
nfllib,2,14,0.88365,2.98095,0.0621,0.2713,4.145
nfllib,2,30,1.71845,2.5995,0.0971,0.4518,3.7372
nfllib,2,62,3.52825,4.24285,0.3384,0.767,3.55845
nfllib,3,14,0.8856,2.96855,0.0546,0.27,4.12055
nfllib,3,30,1.7132,2.6006,0.0997,0.4505,187.706
nfllib,3,62,5.0744,5.1807,0.5109,1.1722,5.6968
nfllib,4,14,1.3131,5.71575,0.0836,0.2707,3.64465
nfllib,4,30,6.40415,48.9717,0.1157,0.4504,4.3276
nfllib,4,62,12.8704,22.2715,0.431,0.7874,3.74515
nfllib,5,14,1.25385,4.4601,0.094,0.374,4.8775
nfllib,5,30,2.43175,4.0698,0.1949,0.7119,4.9789
nfllib,5,62,3.5633,3.3943,0.3389,0.7823,3.6703
nfllib,6,14,0.88855,3.02185,0.063,0.2749,154.211
nfllib,6,30,1.75025,2.64405,0.112,0.4508,88.6971
nfllib,6,62,3.56945,8.70255,0.3975,0.7726,3.63575
nfllib,7,14,0.89755,3.04715,0.0796,0.2729,47.3972
nfllib,7,30,2.62345,10.2575,0.1691,0.797,3.7379
nfllib,7,62,4.5709,20.8386,0.5382,1.1669,65.4613
nfllib,8,14,0.8832,2.89355,0.059,0.2625,4.8006
nfllib,8,30,1.72475,2.6565,0.1026,0.4527,4.00615
nfllib,8,62,3.53705,4.37745,0.3471,0.7704,3.59155
nfllib,9,14,0.88675,6.73795,0.0772,0.3683,4.16625
nfllib,9,30,3.1215,4.78365,0.186,0.7701,5.3667
nfllib,9,62,3.5512,10.4111,0.3871,0.7939,3.64405
openfhe,0,14,97.5243,67.8449,2.1529,2.6304,6.4605
openfhe,0,30,39.9136,11.7108,2.9243,7.5566,6.32115
openfhe,0,60,35.9393,11.2478,5.0565,4.7697,8.016
openfhe,1,14,17.3953,5.3667,1.426,2.4415,6.15805
openfhe,1,30,101.398,5.61325,4.4148,2.6268,6.2491
openfhe,1,60,28.5845,5.4101,1.9701,2.4625,5.94375
openfhe,2,14,16.7921,5.0771,1.3025,2.3474,12.1513
openfhe,2,30,24.0333,8.74425,2.0989,2.4376,6.00805
openfhe,2,60,28.4442,9.0287,4.1353,2.8038,6.20055
openfhe,3,14,15.0601,4.837,1.2371,2.2178,5.63555
openfhe,3,30,14.5288,4.8172,1.2226,2.2001,5.69545
openfhe,3,60,25.9516,4.835,1.2197,2.2371,5.72755
openfhe,4,14,15.7145,4.59365,1.1606,2.1079,5.4643
openfhe,4,30,13.8638,4.6081,1.178,2.1112,38.2807
openfhe,4,60,24.8931,4.9084,1.2766,2.1954,5.52205
openfhe,5,14,14.3955,4.65175,1.1564,2.1146,5.4486
openfhe,5,30,13.382,4.4297,1.1348,2.0222,5.26385
openfhe,5,60,28.7154,4.6571,1.7149,2.1649,5.27565
openfhe,6,14,16.1356,7.3018,1.3164,2.0977,6.0268
openfhe,6,30,13.4327,4.53855,1.1553,2.0361,5.27895
openfhe,6,60,23.7434,4.5454,1.2319,2.1071,5.2209
openfhe,7,14,17.0147,8.23445,8.9443,3.6582,8.63585
openfhe,7,30,12.9599,4.4165,1.1376,1.9859,5.08225
openfhe,7,60,22.9139,4.34415,1.136,2.0338,5.1199
openfhe,8,14,18.6548,4.3228,1.1303,1.9618,5.05765
openfhe,8,30,13.6467,4.7192,1.2476,2.0811,5.244
openfhe,8,60,23.7871,4.4964,1.1903,2.0804,5.27625
openfhe,9,14,13.4029,4.33075,1.1109,1.9848,5.49725
openfhe,9,30,12.8253,4.2853,1.1119,1.9682,5.04755
openfhe,9,60,31.7245,4.45225,1.7079,2.0818,5.5464
helib,0,14,185.13,19.3758,0.8685,1.6632,28.192
helib,0,30,144.027,13.9445,0.5042,1.1706,21.9827
helib,0,62,145.985,15.2424,0.5118,1.1786,21.8652
helib,1,14,141.874,13.1936,0.4536,1.0979,20.5677
helib,1,30,225.869,11.5507,0.5129,1.1014,25.6739
helib,1,62,159.014,11.4454,0.4917,1.109,20.5404
helib,2,14,190.596,10.8125,0.4666,1.0711,21.2994
helib,2,30,117.29,10.2757,0.3998,1.0066,32.6277
helib,2,62,182.46,11.5938,0.5017,1.1122,20.5926
helib,3,14,147.157,15.9606,0.7451,1.6296,27.1687
helib,3,30,123.386,10.6348,0.425,1.0162,19.2408
helib,3,62,123.559,13.326,0.506,2.9933,20.5415
helib,4,14,280.932,11.4307,0.4765,1.1062,20.9699
helib,4,30,117.321,12.9736,0.4989,1.1183,21.1936
helib,4,62,255.865,11.5238,0.5234,1.1092,20.7889
helib,5,14,254.157,23.7871,0.9687,2.0613,187.707
helib,5,30,186.765,22.3041,1.1601,2.6286,64.7092
helib,5,62,150.685,12.542,0.5228,1.2758,24.2298
helib,6,14,134.545,11.7273,0.5063,1.1913,21.852
helib,6,30,125.793,11.0473,0.4499,1.0991,20.234
helib,6,62,123.749,10.7508,0.4353,1.0741,21.4007
helib,7,14,288.98,12.2881,0.5405,1.1857,21.893
helib,7,30,145.297,11.7583,0.5155,1.1903,21.7787
helib,7,62,125.226,11.2823,0.4432,1.0699,19.7062
helib,8,14,274.038,34.9172,1.2723,2.0516,79.6011
helib,8,30,5733.58,700.74,1.2354,2.1913,45.4203
helib,8,62,174.975,14.3823,0.6368,1.9252,27.3464
helib,9,14,187.263,23.0438,0.9141,2.0741,49.632
helib,9,30,284.124,16.4351,0.792,1.6622,31.0907
helib,9,62,170.368,15.1464,0.605,1.5092,27.7547
